policy_id,policy_number,account_id,policy_type,effective_date,expiry_date
POL-001,PN-10001,ACC-009,Auto Liability,2024-01-01,2024-12-31
POL-002,PN-10002,ACC-004,Auto Liability,2024-01-01,2024-12-31
POL-003,PN-10003,ACC-010,Property,2024-01-01,2024-12-31
POL-004,PN-10004,ACC-001,Workers Compensation,2024-01-01,2024-12-31
POL-005,PN-10005,ACC-007,Property,2024-01-01,2024-12-31
POL-006,PN-10006,ACC-005,Workers Compensation,2024-01-01,2024-12-31
POL-007,PN-10007,ACC-004,Property,2024-01-01,2024-12-31
POL-008,PN-10008,ACC-002,General Liability,2024-01-01,2024-12-31
POL-009,PN-10009,ACC-007,General Liability,2024-01-01,2024-12-31
POL-010,PN-10010,ACC-006,Property,2024-01-01,2024-12-31
POL-011,PN-10011,ACC-010,Property,2024-01-01,2024-12-31
POL-012,PN-10012,ACC-001,Auto Liability,2024-01-01,2024-12-31
POL-013,PN-10013,ACC-009,General Liability,2024-01-01,2024-12-31
POL-014,PN-10014,ACC-007,General Liability,2024-01-01,2024-12-31
POL-015,PN-10015,ACC-009,Property,2024-01-01,2024-12-31
