transaction_id,claim_id,transaction_date,transaction_type,amount,currency,claim_number,policy_id,claim_type,severity,policy_number,account_id,policy_type,account_name,industry,region,paid_amount,reserve_amount,expense_amount,recovery_amount,adjustment_amount
TXN-00001,CLM-0001,2025-02-09,Recovery,-20283.68,USD,CLM-10001,POL-014,Property Damage,Low,PN-10014,ACC-007,General Liability,Global Insurance Account 7,Manufacturing,North America,0.0,0.0,0.0,-20283.68,0.0
TXN-00002,CLM-0001,2024-09-10,Paid,2874.8,USD,CLM-10001,POL-014,Property Damage,Low,PN-10014,ACC-007,General Liability,Global Insurance Account 7,Manufacturing,North America,2874.8,0.0,0.0,0.0,0.0
TXN-00003,CLM-0001,2024-11-11,Expense,10877.68,USD,CLM-10001,POL-014,Property Damage,Low,PN-10014,ACC-007,General Liability,Global Insurance Account 7,Manufacturing,North America,0.0,0.0,10877.68,0.0,0.0
TXN-00004,CLM-0002,2024-12-14,Paid,16997.43,USD,CLM-10002,POL-001,Bodily Injury,Low,PN-10001,ACC-009,Auto Liability,Global Insurance Account 9,Retail,North America,16997.43,0.0,0.0,0.0,0.0
TXN-00005,CLM-0002,2024-10-19,Paid,1985.01,USD,CLM-10002,POL-001,Bodily Injury,Low,PN-10001,ACC-009,Auto Liability,Global Insurance Account 9,Retail,North America,1985.01,0.0,0.0,0.0,0.0
TXN-00006,CLM-0002,2024-11-09,Expense,20114.52,USD,CLM-10002,POL-001,Bodily Injury,Low,PN-10001,ACC-009,Auto Liability,Global Insurance Account 9,Retail,North America,0.0,0.0,20114.52,0.0,0.0
TXN-00007,CLM-0002,2024-06-03,Reserve,5193.96,USD,CLM-10002,POL-001,Bodily Injury,Low,PN-10001,ACC-009,Auto Liability,Global Insurance Account 9,Retail,North America,0.0,5193.96,0.0,0.0,0.0
TXN-00008,CLM-0002,2024-09-21,Recovery,-3934.47,USD,CLM-10002,POL-001,Bodily Injury,Low,PN-10001,ACC-009,Auto Liability,Global Insurance Account 9,Retail,North America,0.0,0.0,0.0,-3934.47,0.0
TXN-00009,CLM-0003,2024-08-17,Recovery,-6620.26,USD,CLM-10003,POL-007,Legal Expense,Medium,PN-10007,ACC-004,Property,Global Insurance Account 4,Retail,North America,0.0,0.0,0.0,-6620.26,0.0
TXN-00010,CLM-0003,2025-01-29,Paid,11356.7,USD,CLM-10003,POL-007,Legal Expense,Medium,PN-10007,ACC-004,Property,Global Insurance Account 4,Retail,North America,11356.7,0.0,0.0,0.0,0.0
TXN-00011,CLM-0003,2025-01-13,Adjustment,2898.76,USD,CLM-10003,POL-007,Legal Expense,Medium,PN-10007,ACC-004,Property,Global Insurance Account 4,Retail,North America,0.0,0.0,0.0,0.0,2898.76
